ui/src/app/components/defender/configuration/device-groups/device-groups-modal/form-settings/group-settings.jsx,,Box,,,Grid,,withStyles here can be replaced with Boxs and Grids sx props.,
,,,,,withStyles,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-modal/form-settings/section-heading.jsx,,Box,,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-modal/device-groups-form.jsx,,Paper,,,,,"Maybe Paper import is not needed here, since @webb-uis Dialog component consists from @muis Dialog components and Paper.
Also, I believe the component can be refactored to use only @webb-uis composition Dialog components.",
,,Dialog.Root (now Dialog),,,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-modal/device-groups-form-actions.jsx,,Box,,,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-bgp-flowspec-table.jsx,,Box,,,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-dropdown-menu.jsx,,AddIcon (now Add),,,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-network-edge-table.jsx,,Box,,,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-page.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-table.jsx,,Box,,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/device-groups/device-groups-third-party-table.jsx,,Box,,,,,,
ui/src/app/components/defender/configuration/device-groups/row-icons.jsx,,EditIcon,,,,,,
,,DeleteIcon,,,,,,
ui/src/app/components/defender/configuration/form-components/boundary.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/form-components/description.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/form-components/dimension-and-positions.jsx,,theme (now grey & red),,,,,Use theme.palette.grey[xxx] for grey & theme.palette.error[xxx] for red,
,,Typography,,,,,,
,,Paper,,,,,,
ui/src/app/components/defender/configuration/form-components/name.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/form-components/rulesets.jsx,,,,,ArrowForward (now ArrowIcon),,,
ui/src/app/components/defender/configuration/form-components/spm.jsx,,Box,,,,,,
,,SwitchField (now FormControlLabel & Switch),,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/ratio-rulesets/form-items/minimum-flow-threshold.jsx,,,,,Grid,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/ratio-rulesets/form-items/ratio.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/ratio-rulesets/ratio-rulesets-display.jsx,,DeleteIcon,,,,,,
,,EditIcon,,,,,,
,,VisibilityIcon (now EyeIcon),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/ratio-rulesets/ratio-rulesets-form.jsx,,theme (now grey),,,,,Use theme.palette.grey[xxx],
,,Typography,,,,,,
